Date,Username,URL,Hashtags,Rendered_Content,Out_Links,Users_Mentioned,Media,Coordinates,Place,Source_URL,Source_Label,Retweeted_Tweet,Quoted_Tweet,Replies,Retweets,Likes,Quotes
12/13/2022 8:30:02 AM,SBTS,https://twitter.com/SBTS/status/1602657097233178629,['TheBriefing'],"Conservative Christians, Why Draw the Line over Gay Marriage?: A Case for Upholding the Biblical Definition of Marriage in Our Society @albertmohler  #TheBriefing albertmohler.com/2022/12/13/bri…",['https://albertmohler.com/2022/12/13/briefing-12-13-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,4,0
12/12/2022 9:49:59 AM,SBTS,https://twitter.com/SBTS/status/1602314830811119618,,"NEWS: “There are people yet unborn who will come to know the Lord Jesus by the preaching and testimony and influence of these graduates. […] There are generations yet untaught who will be taught the Word of God.” - @albertmohler 

news.sbts.edu/2022/12/12/gra…",['https://news.sbts.edu/2022/12/12/graduates-will-impact-the-22nd-century-mohler-tells-record-class-of-fall-sbts-graduates/'],['albertmohler'],,,,http://twitter.com/download/iphone,Twitter for iPhone,,,1,0,13,0
12/12/2022 8:30:02 AM,SBTS,https://twitter.com/SBTS/status/1602294710411923458,['TheBriefing'],Welcomed Back into the Arms of Vladimir Putin: The Merchant of Death Returns to Russia in Brittany Griner Exchange @albertmohler #TheBriefing albertmohler.com/2022/12/12/bri…,['https://albertmohler.com/2022/12/12/briefing-12-12-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,0,0,0
12/9/2022 10:50:05 AM,SBTS,https://twitter.com/SBTS/status/1601242788305448962,['SouthernSeminary'],"“We want to make certain that the Word of God is preached, and it is preached rightly. That the Christian faith is taught, and that it is taught faithfully. That the gospel is taken to the nations, and taken joyfully.” - @albertmohler at #SouthernSeminary https://t.co/QBpAwzggcd",,['albertmohler'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1601242712845459456/pu/img/efhoTZ6xNUA707gc.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1601242712845459456/pu/vid/480x852/yNE8_Hje1NuEnhCe.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1601242712845459456/pu/vid/320x568/gNxI_gFG1TDs8OTs.mp4?tag=12', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1601242712845459456/pu/vid/720x1280/pUwKx5hPmDprlAUU.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1601242712845459456/pu/pl/6lLLgUnZ7trRkMQH.m3u8?tag=12&container=fmp4', bitrate=None)], duration=18.74, views=3033)]",,,http://twitter.com/download/iphone,Twitter for iPhone,,,0,10,73,1
12/8/2022 10:18:31 PM,SBTS,https://twitter.com/SBTS/status/1601053651782422528,['SouthernSeminary'],"President @albertmohler and Mrs. Mary Mohler opened their home to greet graduates’ and congratulate them &amp; their families at the President’s reception this evening! #southernseminary 

We are so proud of our graduates! 🎓 https://t.co/pZp5nL2NBr",,['albertmohler'],"[Photo(previewUrl='https://pbs.twimg.com/media/FjgVzxyWIAIdmVd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FjgVzxyWIAIdmVd?format=jpg&name=large')]",,,http://twitter.com/download/iphone,Twitter for iPhone,,,2,0,32,0
12/7/2022 8:40:00 AM,SBTS,https://twitter.com/SBTS/status/1600485279789375488,['TheBriefing'],"What is the Difference Between the Ukrainian Orthodox Church and the Orthodox Church of Ukraine and Why Does it Matter? History, Theology, and Headlines Collide 
@albertmohler #TheBriefing albertmohler.com/2022/12/08/bri…",['https://albertmohler.com/2022/12/08/briefing-12-8-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,0,1,0
12/6/2022 8:30:02 AM,SBTS,https://twitter.com/SBTS/status/1600120380903116800,['TheBriefing'],Can Government Compel Speech? Is Same-Sex Opposition to Be Equated to Racism?: SCOTUS Hears Oral Arguments for Major Religious Freedom Case @albertmohler #TheBriefing albertmohler.com/2022/12/06/bri…,['https://albertmohler.com/2022/12/06/briefing-12-6-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,0,7,0
12/5/2022 10:24:01 AM,SBTS,https://twitter.com/SBTS/status/1599786677551104001,,"""May this seminary stand for the glory of God and may every class taught, and every book read, and every exam taken, and every paper written, and every word uttered, and every thought thought be so directed; to the glory of God."" - Albert Mohler 

Watch: youtube.com/watch?v=aDVyEw…",['https://www.youtube.com/watch?v=aDVyEwCDzy4'],[],,,,https://sproutsocial.com,Sprout Social,,,7,4,40,0
12/5/2022 8:30:04 AM,SBTS,https://twitter.com/SBTS/status/1599758002411765760,['TheBriefing'],"To Preserve, Protect, and Defend the Constitution of the United States: That is the Presidential Oath of Office, and No One Should Enter that Office Who Contradicts It @albertmohler #TheBriefing albertmohler.com/2022/12/05/bri…",['https://albertmohler.com/2022/12/05/briefing-12-5-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,2,1,4,0
12/2/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1598670833865687040,['TheBriefing'],Why Did God Want to Kill Moses? — Dr. Mohler Responds to Letters from Listeners of The Briefing @albertmohler #TheBriefing albertmohler.com/2022/12/02/bri…,['https://albertmohler.com/2022/12/02/briefing-12-2-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,0,0
12/1/2022 8:30:02 AM,SBTS,https://twitter.com/SBTS/status/1598308444322381827,['TheBriefing'],"Totalitarianism vs. Human Dignity in China: The Chinese Communist Party and its Surveillance State, Protests, and COVID Captivity @albertmohler #TheBriefing albertmohler.com/2022/12/01/bri…",['https://albertmohler.com/2022/12/01/briefing-12-1-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,2,1,4,0
11/30/2022 8:30:02 AM,SBTS,https://twitter.com/SBTS/status/1597946056196726784,['TheBriefing'],The Senate Subverts Marriage: The So-Called ‘Respect for Marriage’ Act Passes Senate Vote @albertmohler #TheBriefing albertmohler.com/2022/11/30/bri…,['https://albertmohler.com/2022/11/30/briefing-11-30-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,1,0,0,0
11/29/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1597583672810536962,['TheBriefing'],A Direct Assault Upon Christianity and Conservatives in the Public Square: Justice Amy Coney Barrett Called to Recuse Herself from Case Due to Biblical Views on Sexuality @albertmohler #TheBriefing albertmohler.com/2022/11/29/bri…,['https://albertmohler.com/2022/11/29/briefing-11-29-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,0,0
11/28/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1597221281518452738,['TheBriefing'],"Corruption, Bribery, Migrant Labor, LGBTQ Debates, and Alcoholic Beverages: Controversy Arises Over FIFA World Cup Qatar 2022 @albertmohler #TheBriefing albertmohler.com/2022/11/28/bri…",['https://albertmohler.com/2022/11/28/briefing-11-28-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,0,0,0
11/22/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1595046956778156032,['TheBriefing'],Conservatism Without Theism Will Not Long Last: Why Secular Progressivism Cannot Support a Morality Worth Conserving @albertmohler #TheBriefing albertmohler.com/2022/11/22/bri…,['https://albertmohler.com/2022/11/22/briefing-11-22-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,2,4,0
11/18/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1593597406272278528,['TheBriefing'],Why Is It So Hard to Share the Gospel? Does Loving People Mean That We Respect Their Choices Even When Bad? — Dr. Mohler Responds to a Letter from a 14-Year-Old Listener of The Briefing @albertmohler #TheBriefing albertmohler.com/2022/11/18/bri…,['https://albertmohler.com/2022/11/18/briefing-11-18-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,3,0
11/17/2022 8:30:04 AM,SBTS,https://twitter.com/SBTS/status/1593235019409104896,['TheBriefing'],"Mass Cultural Confusion, Government Failure, and a Gospel Opportunity for the Church: Encouragement for Christians in a Society of Moral Revolt @albertmohler  #TheBriefing albertmohler.com/2022/11/17/bri…",['https://albertmohler.com/2022/11/17/briefing-11-17-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,2,0
11/16/2022 8:30:04 AM,SBTS,https://twitter.com/SBTS/status/1592872631430270978,['TheBriefing'],"The Mormon Church Comes Out in Official Support of the Respect for Marriage Act — Big Theological Issues Are in Play Here, and History, Too @albertmohler  #TheBriefing albertmohler.com/2022/11/16/bri…",['https://albertmohler.com/2022/11/16/briefing-11-16-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,0,3,0
11/14/2022 8:30:03 AM,SBTS,https://twitter.com/SBTS/status/1592147853719339012,['TheBriefing'],Go Figure: New Research Shows Married Couples Have Greater Financial Wealth Than Cohabiting Couples — And Sociologists are Scratching Their Heads as to Why @albertmohler #TheBriefing albertmohler.com/2022/11/14/bri…,['https://albertmohler.com/2022/11/14/briefing-11-14-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,0,1,2,0
11/11/2022 8:30:05 AM,SBTS,https://twitter.com/SBTS/status/1591060696389013505,['TheBriefing'],"If Marriage is Supposed to Be a Monogamous Relationship Between a Man and a Woman, Why Did Many of the Old Testament Patriarchs Practice Polygamy? — Dr. Mohler Responds to Letters from Listeners of The Briefing @albertmohler #TheBriefing albertmohler.com/2022/11/11/bri…",['https://albertmohler.com/2022/11/11/briefing-11-11-22/'],['albertmohler'],,,,https://sproutsocial.com,Sprout Social,,,1,2,4,0
